Source,Time,Target
490041,2025-01-17 09:43:01,589639
599956,2025-01-17 11:22:56,635665
599956,2025-01-17 23:13:06,589639
490041,2025-01-18 15:03:20,635665
599956,2025-01-18 18:53:39,589639
599956,2025-01-18 20:01:59,589639
490041,2025-01-19 03:39:59,589639
490041,2025-01-20 14:45:26,589639
490041,2025-01-21 01:46:04,589639
490041,2025-01-21 04:13:18,635665
490041,2025-01-21 11:16:27,599956
599956,2025-01-21 17:07:23,490041
599956,2025-01-22 02:00:22,490041
599956,2025-01-22 05:03:46,589639
490041,2025-01-22 08:29:36,635665
490041,2025-01-22 15:31:35,589639
632150,2025-02-02 11:32:24,635665
635665,2025-02-08 08:49:11,568093
616050,2025-02-10 08:43:58,632150
632150,2025-02-13 22:31:06,568093
632150,2025-03-06 19:18:40,635665
533140,2025-03-12 04:43:07,591682
635665,2025-03-19 16:47:06,533140
616050,2025-03-19 21:44:26,533140
533140,2025-03-22 18:09:46,616050
632150,2025-03-28 15:16:57,464459
616050,2025-03-29 02:51:56,533140
635665,2025-04-06 09:39:52,533140
599956,2025-04-07 03:46:12,492777
599956,2025-04-11 20:19:55,492777
599956,2025-04-11 22:51:20,492777
599956,2025-04-12 10:48:40,493044
599956,2025-04-13 10:36:10,635665
599956,2025-04-14 11:59:04,490041
599956,2025-04-15 01:03:18,493044
599956,2025-04-15 04:25:41,589639
490041,2025-04-16 09:03:13,550361
599956,2025-04-16 09:31:01,570411
616050,2025-04-16 13:53:11,464459
490041,2025-04-18 07:58:37,623295
599956,2025-04-18 19:42:13,596193
599956,2025-04-21 06:29:17,589639
635665,2025-04-21 18:25:01,616050
599956,2025-04-22 12:19:58,589639
632150,2025-04-24 17:54:05,533140
599956,2025-04-25 09:35:36,635665
616050,2025-04-25 10:52:13,635665
464459,2025-04-25 18:45:20,632150
490041,2025-04-26 04:04:18,640464
599956,2025-04-26 17:15:48,623295
599956,2025-04-26 21:06:40,490041
635665,2025-04-29 04:16:20,632150
632150,2025-05-01 14:06:35,464459
632150,2025-05-01 17:30:25,591682
599956,2025-05-01 22:45:05,550361
616050,2025-05-02 13:22:54,533140
599956,2025-05-02 23:56:45,589639
599956,2025-05-03 16:27:43,492777
616050,2025-05-07 11:28:07,533140
632150,2025-05-08 08:40:57,533140
632150,2025-05-09 13:20:46,464459
623295,2025-08-19 00:08:44,635665
623295,2025-08-22 05:20:56,635665
623295,2025-08-26 03:17:20,492777
492777,2025-08-30 01:03:59,550361
492777,2025-08-30 03:23:12,623295
492777,2025-08-30 13:26:07,596193
550361,2025-08-30 15:05:17,596193
635665,2025-08-30 17:34:54,493044
635665,2025-08-30 19:03:17,493044
492777,2025-08-31 01:08:53,493044
492777,2025-08-31 05:52:46,623295
550361,2025-08-31 09:56:27,623295
623295,2025-08-31 11:48:09,635665
492777,2025-09-02 03:24:10,635665
550361,2025-09-02 03:31:22,493044
623295,2025-09-02 13:35:49,493044
623295,2025-09-04 05:54:18,492777
635665,2025-09-04 13:28:59,596193
492777,2025-09-05 07:54:00,623295
492777,2025-09-05 15:28:29,635665
623295,2025-09-06 05:48:02,635665
635665,2025-09-06 06:06:33,550361
623295,2025-09-07 02:51:24,635665
623295,2025-09-08 11:01:12,550361
550361,2025-09-09 05:06:40,493044
623295,2025-09-10 11:03:07,492777
623295,2025-09-10 18:31:23,635665
635665,2025-09-10 22:53:12,492777
492777,2025-09-12 09:23:01,623295
635665,2025-09-14 08:10:05,623295
492777,2025-09-14 15:04:15,623295
635665,2025-09-16 23:47:45,492777
492777,2025-09-17 20:08:06,635665
492777,2025-09-17 21:40:22,623295
623295,2025-09-17 22:35:14,635665
492777,2025-09-19 10:24:54,493044
550361,2025-09-19 18:14:22,493044
635665,2025-09-21 02:24:14,596193
492777,2025-09-21 10:00:59,635665
635665,2025-09-21 17:51:33,493044
492777,2025-09-22 13:42:18,493044
635665,2025-09-24 17:53:40,550361
635665,2025-09-24 19:05:30,493044
492777,2025-09-25 17:46:43,635665
492777,2025-09-25 18:15:30,635665
635665,2025-09-25 18:42:43,596193
589639,2025-10-05 18:44:13,635665
599956,2025-10-05 18:55:57,490041
589639,2025-10-05 22:42:26,490041
599956,2025-10-05 23:58:14,490041
599956,2025-10-06 01:35:01,490041
589639,2025-10-06 02:06:26,599956
599956,2025-10-06 06:55:47,589639
599956,2025-10-06 09:39:10,490041
599956,2025-10-06 14:46:19,490041
635665,2025-10-07 05:55:24,570411
640464,2025-10-11 03:59:57,635665
635665,2025-10-11 15:29:31,640464
635665,2025-10-12 13:45:01,640464
640464,2025-10-13 10:53:55,570411
640464,2025-10-13 17:59:01,570411
635665,2025-10-13 23:12:50,640464
640464,2025-10-14 05:25:14,635665
640464,2025-10-14 22:21:18,570411
640464,2025-10-16 00:23:00,635665
640464,2025-10-16 05:44:22,570411
635665,2025-10-16 09:45:45,570411
640464,2025-10-17 15:53:45,635665
640464,2025-10-18 17:09:19,570411
635665,2025-10-18 22:06:42,570411
