Source,Alcohol,Apparel and services,Donations,Education,Electricity,Entertainment,Gifts,Groceries,Healthcare,Home maintenance,Household furnishings,Household operations,Housekeeping supplies,Lodging away from home,Miscellaneous,Money income before taxes,Mortgage payments,Natural gas,Personal care products and services,Personal insurance and pensions,Personal taxes,Property taxes,Reading,Rented dwellings,Restaurants,Telephone services,Tobacco,Transportation,Water and other public services
463777,0.0,0.0,0.0,0.0,0.0,0.0,2.9068662451137017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.9341730147886,0.0,0.0,0.0,0.0,2.1589607400977004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464459,0.0,0.0,0.0,0.0,0.0,0.0,0.8184321640301844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.96585611214392,0.0,0.0,0.0,0.0,6.215711723825906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474199,0.0,0.0,0.0,0.0,0.0,0.0,6.494555668537284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.66231719432767,0.0,0.0,0.0,0.0,5.843127137135045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475130,0.0,0.0,0.0,0.0,0.0,0.0,11.31397758808445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.68602241191556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.12786037976106,0.0,0.0,0.0,0.0,8.872139620238944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502591,0.0,0.0,0.0,0.0,0.0,0.0,0.9570506608684366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.04294933913157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505722,0.0,0.0,0.0,0.0,0.0,0.0,0.7919276513896614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.20807234861034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
