,0,1,2,3,4,5
576641,0,0,0,0,0,0
529922,0,0,0,0,0,0
654981,0,0,0,0,0,0
538892,0,0,0,0,1,0
512397,0,0,0,0,0,0
550287,0,0,0,0,0,0
635665,1,0,1,1,0,0
599441,0,5,2,4,4,0
534034,0,3,5,4,0,0
599956,0,0,0,0,0,0
533140,0,0,0,0,0,0
599057,0,0,0,0,0,0
599063,0,0,0,0,0,0
517273,0,0,0,0,0,0
568093,2,0,2,2,0,0
592414,0,0,0,0,0,0
505722,0,0,0,0,0,0
548513,0,0,0,0,0,0
463777,0,0,0,0,0,0
636961,0,0,0,0,0,0
559657,0,0,0,0,0,0
570411,0,0,0,0,0,0
570284,2,0,0,0,1,5
654763,0,0,0,0,0,0
490041,0,0,0,0,0,0
635706,0,0,0,0,0,0
608827,0,0,0,0,0,0
623295,0,0,0,0,0,0
554431,0,0,0,0,0,0
502591,0,0,0,0,0,0
591682,0,0,0,0,0,0
566342,0,0,0,0,0,0
589639,0,0,0,0,0,0
464459,1,0,2,1,0,0
640464,0,0,0,0,0,0
649553,2,0,0,3,4,5
643925,4,0,0,2,5,3
632150,0,0,0,0,0,0
474199,0,0,0,0,0,0
622296,0,0,0,0,0,0
550361,0,0,0,0,0,0
575704,0,0,0,0,0,0
629717,0,0,0,0,0,0
569820,0,0,0,0,0,0
530528,0,0,0,0,0,0
596193,0,0,0,0,0,0
572391,0,0,0,0,2,0
492777,0,0,0,0,0,0
616050,0,0,0,0,0,0
575859,0,0,0,0,0,0
493044,0,0,0,0,0,0
542965,0,0,0,0,5,0
475130,0,0,0,0,0,0
629627,0,2,2,4,0,0
585212,0,5,5,5,3,0
492286,0,0,0,0,0,0
