Source,Time,Location
572413,2025-01-16 00:00:00,4.0
572413,2025-01-16 01:49:31,4.0
572413,2025-01-16 05:37:54,4.0
629627,2025-01-16 05:43:35,4.0
572413,2025-01-16 11:17:21,4.0
572413,2025-01-16 16:25:21,4.0
515794,2025-01-16 17:59:56,4.0
515794,2025-01-16 20:08:39,4.0
572413,2025-01-16 20:11:50,4.0
572413,2025-01-16 23:26:10,4.0
629627,2025-01-17 23:19:14,4.0
572413,2025-01-18 01:51:53,4.0
515794,2025-01-18 02:23:10,4.0
572413,2025-01-18 09:37:30,4.0
515794,2025-01-18 13:44:25,4.0
515794,2025-01-18 17:38:56,4.0
515794,2025-01-19 15:08:17,4.0
572413,2025-01-20 07:51:37,4.0
572413,2025-01-20 14:01:51,4.0
572413,2025-01-20 14:54:41,4.0
572413,2025-01-21 01:13:11,4.0
515794,2025-01-21 01:35:39,4.0
572413,2025-01-21 02:19:11,4.0
629627,2025-01-21 14:25:37,4.0
629627,2025-01-21 21:09:03,4.0
515794,2025-01-21 22:46:52,4.0
572413,2025-01-22 01:52:34,4.0
572413,2025-01-22 04:27:43,4.0
572413,2025-01-22 08:14:34,4.0
572413,2025-01-22 16:19:59,4.0
585212,2025-01-26 14:47:27,4.0
541017,2025-01-28 13:33:55,1.0
585212,2025-01-29 10:33:38,4.0
585212,2025-01-30 00:24:47,4.0
541017,2025-01-30 22:09:10,1.0
582851,2025-02-03 06:46:31,1.0
582851,2025-02-05 23:59:27,1.0
582851,2025-02-07 08:01:53,1.0
582851,2025-02-09 14:37:56,1.0
541017,2025-02-10 13:01:02,1.0
527597,2025-02-27 08:22:35,1.0
527597,2025-02-27 22:23:31,1.0
541017,2025-03-04 10:12:11,1.0
527597,2025-03-08 11:15:27,1.0
585212,2025-03-11 08:42:10,4.0
527597,2025-03-11 13:35:07,1.0
582851,2025-03-15 09:30:37,1.0
527597,2025-03-15 21:33:19,1.0
585212,2025-03-16 09:12:00,4.0
585212,2025-03-18 13:57:36,4.0
527597,2025-03-20 03:25:49,1.0
585212,2025-03-20 12:35:32,4.0
527597,2025-03-22 09:05:50,1.0
585212,2025-03-24 03:38:28,4.0
582851,2025-03-25 05:37:06,1.0
527597,2025-03-26 01:04:10,1.0
527597,2025-03-27 12:23:10,1.0
527597,2025-03-29 15:54:47,1.0
541017,2025-04-01 12:41:19,1.0
585212,2025-04-05 06:40:14,4.0
541017,2025-04-05 13:49:19,1.0
582851,2025-04-07 23:43:03,1.0
527597,2025-04-08 22:33:52,1.0
541017,2025-04-10 18:10:06,1.0
585212,2025-04-13 11:25:37,4.0
585212,2025-04-14 02:38:12,4.0
541017,2025-04-25 20:57:38,1.0
582851,2025-04-27 19:34:53,1.0
582851,2025-04-30 15:11:11,1.0
629627,2025-05-02 06:45:09,4.0
515794,2025-05-03 07:30:16,4.0
505965,2025-05-03 12:40:12,4.0
582851,2025-05-05 09:30:57,1.0
582851,2025-05-05 12:18:08,1.0
582851,2025-05-05 19:17:58,1.0
602912,2025-05-07 05:11:22,1.0
629627,2025-05-07 14:21:19,4.0
629627,2025-05-07 22:52:16,4.0
541017,2025-05-09 05:21:03,1.0
505965,2025-05-10 19:12:18,4.0
602912,2025-05-12 01:18:24,1.0
