Source,Alcohol,Apparel and services,Donations,Education,Electricity,Entertainment,Groceries,Healthcare,Home maintenance,Household furnishings,Household operations,Housekeeping supplies,Lodging away from home,Miscellaneous,Mortgage payments,Natural gas,Personal care products and services,Personal insurance and pensions,Personal taxes,Property taxes,Reading,Rented dwellings,Restaurants,Telephone services,Tobacco,Transportation,Water and other public services
466976,640.95,,,3963.81,576.32,,7533.16,,,7146.89,1652.08,848.82,3435.72,5169.73,3816.99,,723.89,,248.9,,168.32,,3202.79,,,5749.62,2249.28
478754,334.0,671.78,,179.32,1232.64,,1567.57,,,2312.74,885.78,,1763.76,,611.39,,105.23,,2277.9,,132.51,6376.02,904.42,,,,546.44
492701,170.12,3052.63,3006.51,,1433.99,,8665.54,4744.49,6111.55,612.6,2193.96,,4463.25,,,1399.05,532.37,,4436.3,2367.25,251.9,9335.04,2261.47,,,16279.8,1819.6
493094,1159.64,1631.93,,78.87,1723.73,,2799.86,,,3725.96,4803.92,,4391.21,3163.52,2441.93,,,6315.32,3582.65,,616.21,10157.6,10214.8,1173.68,,,1793.02
493652,142.76,284.93,214.43,120.27,336.29,,1299.03,,,1651.44,490.95,304.65,,1132.0,85.67,,78.12,2055.58,1018.22,,38.67,,1011.58,,,8492.89,156.76
500813,162.65,708.12,,2066.72,243.26,,703.66,1208.09,1861.41,1413.05,1122.43,635.44,,1552.37,930.98,,285.6,3517.64,2892.02,1241.29,161.16,3233.06,2511.22,249.16,185.98,7926.69,340.32
508898,73.45,,1272.62,,1068.85,,2939.52,,,1245.58,187.12,1414.3,2951.76,3744.72,1053.33,1437.55,,5377.2,13481.8,,,7216.68,3035.49,384.0,,19974.0,624.98
516236,713.06,4836.31,11185.4,,1929.22,,1406.81,,,2489.02,,5302.1,6938.77,2574.66,47400.0,,353.31,32142.3,146800.0,,280.38,39291.8,2618.5,8956.1,,41464.4,1904.74
520084,522.39,,13260.7,8845.36,1531.51,,2315.62,11179.5,3978.84,530.03,2230.88,2262.18,15080.3,16249.6,,,2580.06,17907.0,20358.5,2347.91,,10072.2,5343.67,2588.29,1761.31,30415.8,994.25
529433,1415.99,4385.38,,8060.6,2716.27,3419.82,1812.17,10862.7,4349.74,6453.51,684.27,460.34,3143.13,210.5,6900.2,,1017.67,6540.34,13393.6,2158.6,,13854.7,5167.03,2514.63,3538.33,15821.9,1597.54
536951,507.47,2141.56,954.38,2552.28,620.27,,1391.04,,,221.54,1414.94,421.71,449.32,3296.54,,1252.81,,4019.67,1187.43,,,,475.36,394.63,,4620.27,200.63
538892,66.56,,,2087.94,411.67,,2929.23,,,397.53,1700.68,115.09,1336.5,,7084.51,,232.76,804.6,,,,,318.53,287.96,,2011.04,206.85
541619,75.27,669.26,588.78,16.34,231.44,,208.62,713.5,444.32,1085.42,21.65,92.3,577.37,574.32,283.97,,85.13,26.11,72.99,146.4,4.93,1088.77,263.52,125.82,,2793.29,218.46
542965,149.53,1420.57,1637.51,,177.36,,3375.37,,,310.96,415.8,136.94,232.68,,798.15,,373.32,1031.52,804.21,,210.09,,1100.57,613.8,,8413.6,737.83
544074,139.33,447.16,376.4,73.43,132.61,,370.86,,,592.22,,114.21,233.7,567.43,,,4.52,1003.13,243.68,,,,382.88,18.12,,2345.31,259.1
568284,285.7,955.54,1772.19,279.83,701.36,,3054.32,,,3084.78,818.09,141.32,369.91,2456.28,817.27,,439.2,1147.37,164.3,,92.37,5053.94,584.34,,,3861.34,267.45
572391,377.58,253.64,,619.38,288.38,,642.73,,,787.03,,315.44,1117.58,1960.88,3433.52,,214.29,593.37,,,,,,140.14,,7690.99,330.92
575295,516.47,2.91,1191.34,2117.18,429.42,,1609.94,,,2150.02,280.94,277.44,,,1638.18,,281.97,,1213.18,,60.24,1131.09,1211.81,,,5529.22,173.64
578531,112.79,94.12,,4967.63,604.91,1122.89,3687.96,,,979.19,842.49,951.82,1464.95,2131.32,1367.71,794.95,779.39,4032.44,6814.56,,,5216.01,1875.25,765.2,127.15,3994.14,564.37
584736,494.71,535.85,15399.5,,534.07,,7045.08,,,8001.41,6650.38,,12526.9,5190.51,15668.2,,1100.5,26846.9,11520.6,,117.94,19167.7,6214.69,1500.31,,,2778.19
604113,153.88,437.88,,,233.46,,926.2,,,435.11,402.74,539.3,,449.99,796.54,,1.53,102.25,,,,,323.11,53.94,,,698.03
607386,352.43,,618.59,,2396.91,,5638.62,,,3632.97,2377.76,170.71,622.79,6084.53,2016.27,,347.93,3985.69,,,,,4129.17,790.97,,18698.1,174.81
610497,164.35,365.16,,,382.9,,707.62,,,91.95,,476.32,299.92,1626.32,,,196.78,2020.36,119.2,,,961.13,191.06,180.33,271.92,3200.7,516.88
614761,11.82,460.73,,847.85,584.32,,1026.74,,,2501.87,532.11,425.54,,1698.46,,,489.33,,2556.09,,,4471.64,3508.3,17.14,,5740.1,663.33
628223,576.14,,3739.59,,1096.37,1846.53,8384.06,,,6636.04,4394.98,948.57,,7443.2,1117.73,2582.67,520.28,9336.13,4485.42,,304.78,8091.25,4632.3,30.83,,19153.4,978.47
657076,384.3,1384.47,,,458.72,,2596.98,,,242.37,719.92,530.82,1950.69,180.6,1257.76,,,,5823.53,,,4887.83,1922.91,501.28,983.51,7256.03,595.71
