Source,Target,Weight
483784,Gifts,1201.05
483784,Money income before taxes,441206.0
483784,Personal taxes,2356.79
561819,Money income before taxes,11074.4
530990,Gifts,325.81
530990,Money income before taxes,21534.1
619322,Money income before taxes,25157.9
631903,Money income before taxes,23118.1
524153,Gifts,4561.47
524153,Money income before taxes,23069.8
549840,Gifts,762.06
549840,Money income before taxes,10144.0
477657,Gifts,392.38
477657,Money income before taxes,3562.94
594308,Gifts,1693.86
594308,Money income before taxes,33720.8
573137,Money income before taxes,11488.3
