Source,Time,Target,Weight,TargetLocation
619322,2025-01-24 00:00:00,657173,8.0,1.0
619322,2025-01-24 00:00:00,657173,8.0,1.0
619322,2025-01-24 00:00:00,657173,8.0,1.0
619322,2025-01-24 00:00:00,657173,8.0,1.0
619322,2025-01-24 00:00:00,657173,8.0,1.0
594308,2025-02-08 00:00:00,616453,1.0,5.0
594308,2025-02-08 00:00:00,616453,1.0,5.0
594308,2025-02-08 00:00:00,616453,1.0,5.0
594308,2025-02-08 00:00:00,616453,1.0,5.0
594308,2025-02-08 00:00:00,616453,1.0,5.0
477657,2025-02-27 00:00:00,616453,0.0,5.0
477657,2025-02-27 00:00:00,616453,0.0,5.0
477657,2025-02-27 00:00:00,616453,0.0,5.0
477657,2025-02-27 00:00:00,616453,0.0,5.0
477657,2025-02-27 00:00:00,616453,0.0,5.0
477657,2025-03-08 00:00:00,625756,3.0,3.0
477657,2025-03-08 00:00:00,625756,3.0,3.0
477657,2025-03-08 00:00:00,625756,3.0,3.0
477657,2025-03-08 00:00:00,625756,3.0,3.0
477657,2025-03-08 00:00:00,625756,3.0,3.0
619322,2025-03-19 00:00:00,509607,3.0,4.0
619322,2025-03-19 00:00:00,509607,3.0,4.0
619322,2025-03-19 00:00:00,509607,3.0,4.0
619322,2025-03-19 00:00:00,509607,3.0,4.0
619322,2025-03-19 00:00:00,509607,3.0,4.0
477657,2025-03-30 00:00:00,616453,0.0,5.0
477657,2025-03-30 00:00:00,616453,0.0,5.0
477657,2025-03-30 00:00:00,616453,0.0,5.0
477657,2025-03-30 00:00:00,616453,0.0,5.0
477657,2025-03-30 00:00:00,616453,0.0,5.0
483784,2025-04-03 01:00:00,561157,-1.0,0.0
483784,2025-04-03 01:00:00,561157,-1.0,0.0
483784,2025-04-03 01:00:00,561157,-1.0,0.0
483784,2025-04-03 01:00:00,561157,-1.0,0.0
483784,2025-04-03 01:00:00,561157,-1.0,0.0
619322,2025-04-07 01:00:00,509607,3.0,4.0
619322,2025-04-07 01:00:00,509607,3.0,4.0
619322,2025-04-07 01:00:00,509607,3.0,4.0
619322,2025-04-07 01:00:00,509607,3.0,4.0
619322,2025-04-07 01:00:00,509607,3.0,4.0
619322,2025-04-21 01:00:00,616453,2.0,5.0
619322,2025-04-21 01:00:00,616453,2.0,5.0
619322,2025-04-21 01:00:00,616453,2.0,5.0
619322,2025-04-21 01:00:00,616453,2.0,5.0
619322,2025-04-21 01:00:00,616453,2.0,5.0
594308,2025-05-05 01:00:00,509607,1.0,4.0
594308,2025-05-05 01:00:00,509607,1.0,4.0
594308,2025-05-05 01:00:00,509607,1.0,4.0
594308,2025-05-05 01:00:00,509607,1.0,4.0
