Source,Time,Target
34,2025-01-02 05:52:28,27
34,2025-01-02 14:09:18,37
41,2025-01-02 17:26:01,37
27,2025-01-03 01:13:21,37
37,2025-01-03 02:52:52,41
34,2025-01-03 12:40:23,41
41,2025-01-03 15:54:29,27
41,2025-01-03 16:43:42,37
34,2025-01-03 17:34:39,41
41,2025-01-03 18:36:33,37
37,2025-01-04 01:38:29,27
34,2025-01-04 04:53:33,27
34,2025-01-04 08:09:38,27
41,2025-01-04 09:39:45,37
34,2025-01-04 16:23:43,37
34,2025-01-04 23:57:41,41
37,2025-01-05 00:17:11,34
34,2025-01-05 01:16:17,37
41,2025-01-05 04:33:54,27
41,2025-01-05 08:09:46,34
37,2025-01-05 19:53:14,27
34,2025-01-05 23:58:23,37
34,2025-01-06 07:42:34,37
34,2025-01-07 04:13:53,27
34,2025-01-07 11:07:49,27
65,2025-01-07 15:58:42,39
27,2025-01-07 16:14:31,41
41,2025-01-07 18:40:47,34
27,2025-01-07 19:45:34,34
41,2025-01-07 22:46:53,34
41,2025-01-08 01:21:09,34
34,2025-01-08 09:06:40,27
41,2025-01-08 10:25:22,37
27,2025-01-08 16:44:12,37
41,2025-01-09 02:27:22,0
65,2025-01-18 19:42:47,41
40,2025-01-27 14:42:26,39
41,2025-02-05 09:08:46,0
65,2025-02-08 06:03:34,0
41,2025-02-08 12:46:37,40
40,2025-02-09 11:32:48,65
65,2025-02-10 11:50:22,0
41,2025-02-10 16:45:25,65
41,2025-02-11 16:01:25,39
41,2025-02-17 19:40:39,0
40,2025-02-18 01:56:57,0
40,2025-02-19 10:07:32,41
41,2025-02-19 12:06:48,40
41,2025-02-19 12:10:04,39
40,2025-02-21 21:35:32,65
65,2025-02-22 01:09:42,40
41,2025-02-22 16:22:29,65
41,2025-02-25 08:33:34,65
40,2025-02-27 09:05:47,65
65,2025-02-27 17:21:41,0
41,2025-03-07 19:26:44,65
65,2025-03-08 17:43:18,40
65,2025-03-09 11:38:10,41
41,2025-03-11 02:37:01,39
40,2025-03-12 15:54:25,41
65,2025-03-17 00:47:20,40
40,2025-03-20 13:05:45,0
41,2025-03-21 08:12:18,65
65,2025-03-27 19:32:54,0
40,2025-03-29 04:40:45,39
40,2025-04-05 00:32:19,0
40,2025-04-14 01:13:30,39
65,2025-04-14 02:05:26,40
65,2025-04-18 17:35:39,39
27,2025-05-23 15:04:45,34
43,2025-05-23 17:45:38,37
34,2025-05-23 20:38:06,37
27,2025-05-23 21:47:43,41
27,2025-05-23 22:34:47,56
27,2025-05-24 01:53:52,56
41,2025-05-24 06:43:58,34
41,2025-05-24 06:53:24,43
43,2025-05-24 11:03:33,27
63,2025-05-24 21:54:59,27
41,2025-05-25 02:22:57,57
27,2025-05-25 05:43:08,34
56,2025-05-25 07:59:02,43
63,2025-05-25 12:34:01,37
56,2025-05-25 15:02:55,37
56,2025-05-25 19:32:02,63
34,2025-05-25 23:04:03,43
58,2025-05-26 03:09:10,56
41,2025-05-26 06:41:39,34
47,2025-05-27 02:43:37,27
56,2025-05-27 09:57:14,34
56,2025-05-27 15:03:37,63
56,2025-05-28 00:44:37,47
56,2025-05-28 10:20:59,34
27,2025-05-28 11:23:47,47
41,2025-05-28 23:54:57,47
41,2025-05-29 01:39:47,57
27,2025-05-29 01:51:03,47
41,2025-05-29 03:06:49,56
47,2025-05-29 13:59:45,27
47,2025-05-30 03:19:05,57
47,2025-05-30 06:05:25,45
34,2025-05-30 13:11:29,63
27,2025-05-30 16:13:58,57
27,2025-05-31 01:33:07,58
27,2025-05-31 04:06:27,41
63,2025-05-31 04:17:14,47
41,2025-05-31 06:57:04,63
63,2025-05-31 07:06:57,58
27,2025-05-31 09:08:51,34
47,2025-05-31 15:04:44,45
63,2025-05-31 19:12:25,37
56,2025-06-01 06:28:41,41
56,2025-06-01 16:31:35,41
41,2025-06-02 02:17:26,45
41,2025-06-02 03:09:47,27
63,2025-06-03 03:39:13,56
34,2025-06-03 15:36:27,63
27,2025-06-03 19:55:24,37
63,2025-06-03 21:23:02,56
56,2025-06-04 22:05:56,58
63,2025-06-05 04:31:39,56
58,2025-06-05 21:03:34,43
63,2025-06-06 08:26:32,56
41,2025-06-06 20:58:17,63
63,2025-06-06 23:08:42,41
58,2025-06-07 03:25:51,37
63,2025-06-07 04:34:53,45
63,2025-06-07 04:36:14,27
56,2025-06-09 14:17:36,45
27,2025-06-09 23:56:44,43
63,2025-06-10 00:12:25,37
45,2025-06-10 11:04:51,43
34,2025-06-10 16:26:05,56
34,2025-06-10 18:03:02,58
63,2025-06-11 16:31:00,58
41,2025-06-11 17:06:38,27
56,2025-06-11 17:44:00,45
34,2025-06-11 19:36:48,41
47,2025-06-11 20:59:57,57
63,2025-06-12 01:32:39,43
47,2025-06-12 03:24:55,56
41,2025-06-12 18:39:31,57
41,2025-06-12 21:30:28,58
27,2025-06-13 03:40:08,45
41,2025-06-13 06:33:43,37
37,2025-06-15 02:07:58,34
41,2025-06-15 03:32:20,56
27,2025-06-15 04:57:22,58
27,2025-06-15 10:50:29,43
41,2025-06-15 13:21:42,27
45,2025-06-15 20:50:08,56
63,2025-06-16 00:19:15,47
34,2025-06-16 13:07:54,45
34,2025-06-16 14:21:28,27
56,2025-06-16 14:57:50,43
45,2025-06-17 07:06:05,63
27,2025-06-17 15:49:40,41
56,2025-06-18 03:15:47,43
56,2025-06-20 01:45:19,34
41,2025-09-21 13:44:28,58
45,2025-09-21 22:45:29,47
45,2025-09-21 23:39:53,43
45,2025-09-22 13:05:01,58
63,2025-09-22 16:25:22,58
63,2025-09-22 21:34:19,58
43,2025-09-23 02:04:15,45
41,2025-09-24 06:29:07,58
41,2025-09-24 09:40:24,45
41,2025-09-24 10:41:42,63
58,2025-09-24 17:21:05,47
45,2025-09-24 19:53:48,63
41,2025-09-25 04:36:02,58
41,2025-09-25 16:05:52,45
63,2025-09-26 05:52:54,58
45,2025-09-27 10:30:05,58
41,2025-09-27 17:32:43,58
45,2025-09-27 19:26:56,47
43,2025-09-28 02:19:48,58
45,2025-09-29 08:15:50,41
43,2025-09-29 19:07:10,41
41,2025-09-29 20:57:03,43
43,2025-09-30 14:53:27,45
47,2025-09-30 19:09:38,58
41,2025-09-30 22:43:10,63
63,2025-10-01 02:56:41,58
41,2025-10-01 13:38:38,47
45,2025-10-02 05:38:41,47
63,2025-10-03 01:09:19,41
43,2025-10-03 02:35:02,45
41,2025-10-06 16:20:50,45
63,2025-10-07 09:55:58,43
63,2025-10-07 16:21:30,58
45,2025-10-07 17:23:54,47
41,2025-10-07 22:22:15,58
41,2025-10-08 04:17:16,47
41,2025-10-08 08:37:46,45
45,2025-10-08 18:47:53,43
41,2025-10-08 19:05:41,63
58,2025-10-09 00:26:14,45
58,2025-10-09 09:17:26,45
45,2025-10-10 15:52:45,58
41,2025-10-11 16:13:23,47
63,2025-10-11 21:34:01,41
