Source,Gifts,Money income before taxes,Personal taxes
0,,20000.0,
2,600.0,40000.0,
27,1000.0,50000.0,
29,,30000.0,
31,,9000.0,
33,400.0,40000.0,
34,,10000.0,
35,,40000.0,
36,1000.0,10000.0,700.0
37,,20000.0,800.0
38,70.0,20000.0,400.0
39,,5000.0,
40,800.0,10000.0,300.0
41,300.0,9000.0,
42,,10000.0,
43,20.0,10000.0,
44,,200000.0,
45,4000.0,40000.0,
46,,30000.0,
47,,10000.0,
48,,40000.0,
49,1000.0,40000.0,
52,,50000.0,
53,,50000.0,7000.0
54,4000.0,30000.0,
55,4000.0,30000.0,2000.0
56,,30000.0,
57,,20000.0,200000.0
58,100.0,3000.0,
59,,5000.0,
60,200.0,3000.0,200.0
61,400.0,4000.0,
62,400.0,10000.0,
63,,100000.0,20000.0
64,1000.0,20000.0,
65,300.0,10000.0,
