Source,Alcohol,Apparel and services,Donations,Education,Electricity,Entertainment,Groceries,Healthcare,Home maintenance,Household furnishings,Household operations,Housekeeping supplies,Lodging away from home,Miscellaneous,Mortgage payments,Natural gas,Personal care products and services,Personal insurance and pensions,Personal taxes,Property taxes,Reading,Rented dwellings,Restaurants,Telephone services,Tobacco,Transportation,Water and other public services
0,200.0,,,100.0,800.0,,3000.0,,50.0,1000.0,,30.0,800.0,400.0,1000.0,,,2000.0,800.0,1000.0,80.0,4000.0,,300.0,,2000.0,300.0
2,100.0,,3000.0,3000.0,600.0,,2000.0,3000.0,1000.0,2000.0,1000.0,400.0,2000.0,1000.0,700.0,,10.0,4000.0,5000.0,500.0,20.0,5000.0,200.0,1000.0,,,900.0
27,400.0,800.0,1000.0,2000.0,600.0,,700.0,6000.0,900.0,700.0,2000.0,50.0,5000.0,4000.0,,,300.0,5000.0,9000.0,800.0,,6000.0,,,,,700.0
29,200.0,400.0,500.0,2000.0,800.0,,1000.0,,1000.0,1000.0,100.0,200.0,2000.0,1000.0,400.0,,500.0,4000.0,6000.0,200.0,,6000.0,,,,8000.0,600.0
31,400.0,500.0,200.0,70.0,400.0,,1000.0,2000.0,1000.0,2000.0,200.0,600.0,,2000.0,900.0,500.0,300.0,1000.0,700.0,1000.0,,4000.0,,200.0,,5000.0,500.0
33,500.0,3000.0,2000.0,400.0,500.0,,3000.0,,,3000.0,900.0,200.0,,900.0,2000.0,,500.0,2000.0,10000.0,,,5000.0,3000.0,2000.0,,4000.0,100.0
34,200.0,100.0,800.0,,,,40.0,,,2000.0,1000.0,600.0,300.0,3000.0,30.0,,400.0,1000.0,1000.0,,,3000.0,2000.0,100.0,,4000.0,200.0
35,80.0,,,,700.0,,1000.0,,,100.0,2000.0,1000.0,1000.0,200.0,,,600.0,6000.0,6000.0,,40.0,6000.0,3000.0,,,6000.0,600.0
36,200.0,500.0,,,300.0,,2000.0,,,2000.0,700.0,400.0,1000.0,3000.0,,,500.0,1000.0,,,200.0,3000.0,400.0,100.0,,9000.0,500.0
37,400.0,50.0,,2000.0,500.0,,2000.0,,800.0,2000.0,,,,2000.0,300.0,,300.0,5000.0,,1000.0,60.0,2000.0,1000.0,,,,200.0
38,300.0,800.0,500.0,1000.0,600.0,,1000.0,,,2000.0,,,600.0,2000.0,,,200.0,3000.0,,,60.0,600.0,1000.0,70.0,,,200.0
39,200.0,,200.0,2000.0,,,1000.0,,,800.0,900.0,300.0,,2000.0,3000.0,,,,1000.0,,90.0,,2000.0,,,300.0,200.0
40,100.0,300.0,400.0,1000.0,500.0,,1000.0,,,2000.0,70.0,1000.0,600.0,2000.0,,500.0,,700.0,,,300.0,,,100.0,,8000.0,400.0
41,100.0,400.0,,,70.0,,1000.0,,,30.0,,40.0,2000.0,800.0,,,40.0,1000.0,2000.0,,100.0,,,500.0,,400.0,500.0
42,200.0,600.0,300.0,,700.0,,2000.0,,,3000.0,800.0,500.0,900.0,1000.0,600.0,,200.0,700.0,400.0,,100.0,,1000.0,,,,700.0
43,100.0,1000.0,,,300.0,,1000.0,,,300.0,,80.0,500.0,400.0,,700.0,70.0,400.0,2000.0,,70.0,,2000.0,500.0,,6000.0,400.0
44,400.0,9000.0,,2000.0,1000.0,,500.0,,,2000.0,900.0,,3000.0,,,,400.0,6000.0,4000.0,,200.0,6000.0,5000.0,,,7000.0,800.0
45,200.0,600.0,4000.0,1000.0,700.0,,3000.0,3000.0,2.0,900.0,3000.0,,3000.0,,2000.0,,300.0,10000.0,8000.0,800.0,60.0,6000.0,1000.0,200.0,,6000.0,800.0
46,50.0,700.0,600.0,,500.0,,5000.0,3000.0,2000.0,1000.0,,200.0,,2000.0,1000.0,,70.0,700.0,3000.0,2000.0,,3000.0,600.0,700.0,,1000.0,200.0
47,300.0,2000.0,200.0,,600.0,,4000.0,,,600.0,,,200.0,500.0,,,,3000.0,900.0,,80.0,5000.0,2000.0,20.0,,4000.0,700.0
48,10.0,100.0,2000.0,,900.0,,2000.0,,,300.0,,500.0,,200.0,,,500.0,5000.0,6000.0,,,4000.0,3000.0,600.0,,3000.0,500.0
49,300.0,400.0,3000.0,2000.0,700.0,1000.0,3000.0,2000.0,200.0,300.0,400.0,,4000.0,3000.0,3000.0,,300.0,1000.0,6000.0,2000.0,20.0,5000.0,,1000.0,1000.0,5000.0,500.0
52,70.0,800.0,,2000.0,400.0,,4000.0,3000.0,2000.0,3000.0,1000.0,,50.0,4000.0,,,20.0,,9000.0,1000.0,,4000.0,2000.0,700.0,,5000.0,7.0
53,90.0,4000.0,3000.0,,2000.0,,2000.0,,,1000.0,900.0,600.0,2000.0,6000.0,400.0,,,,,,200.0,,400.0,,,,70.0
54,200.0,4000.0,,,1000.0,,1000.0,,,1000.0,1000.0,,2000.0,3000.0,10000.0,,2000.0,4000.0,4000.0,,500.0,,1000.0,900.0,,500.0,2000.0
55,1000.0,,300.0,,2000.0,,5000.0,,,6000.0,,,,8000.0,4000.0,,,,,,,,1000.0,700.0,,20000.0,600.0
56,300.0,3000.0,2000.0,,1000.0,,5000.0,,,3000.0,400.0,2000.0,3000.0,5000.0,4000.0,,,2000.0,800.0,,900.0,,7000.0,,,7000.0,2000.0
57,100.0,,,20000.0,,3000.0,10000.0,20000.0,5000.0,3000.0,6000.0,,10000.0,10000.0,100000.0,4000.0,2000.0,40000.0,,9000.0,200.0,40000.0,20000.0,9000.0,,,1000.0
58,90.0,,,,60.0,,1000.0,,,200.0,300.0,,800.0,,400.0,,6.0,,200.0,,6.0,,200.0,,,1000.0,3.0
59,200.0,,400.0,500.0,200.0,,500.0,,,200.0,20.0,,,200.0,500.0,,30.0,300.0,600.0,,50.0,,,,,3000.0,100.0
60,50.0,600.0,,,70.0,,600.0,,,80.0,30.0,80.0,200.0,300.0,,,,,,,50.0,,700.0,200.0,,2000.0,300.0
61,90.0,600.0,80.0,300.0,200.0,,600.0,,,300.0,60.0,100.0,70.0,900.0,1000.0,,300.0,100.0,200.0,,,3000.0,900.0,,,,300.0
62,200.0,,300.0,600.0,200.0,,300.0,,,90.0,,100.0,,2000.0,,,100.0,900.0,1000.0,,60.0,2000.0,100.0,200.0,,3000.0,300.0
63,100.0,,800.0,,300.0,,2000.0,,,1000.0,700.0,80.0,1000.0,400.0,20000.0,,,10000.0,,,20.0,5000.0,80.0,1000.0,,3000.0,400.0
64,100.0,,,700.0,100.0,,1000.0,1000.0,2000.0,200.0,,,4000.0,2000.0,1000.0,,,4000.0,6000.0,1000.0,,2000.0,500.0,400.0,,,500.0
65,400.0,600.0,1000.0,,60.0,600.0,1000.0,2000.0,2000.0,400.0,700.0,,500.0,500.0,1000.0,,200.0,2000.0,2000.0,500.0,20.0,2000.0,700.0,10.0,,,400.0
