Source,Target,Weight
2,Rented dwellings,5000
2,Home maintenance,1000
2,Healthcare,3000
2,Personal insurance and pensions,4000
2,Alcohol,100
2,Water and other public services,900
2,Groceries,2000
2,Electricity,600
2,Lodging away from home,2000
2,Education,3000
2,Housekeeping supplies,400
2,Restaurants,200
2,Telephone services,1000
2,Donations,3000
2,Household operations,1000
2,Miscellaneous,1000
2,Reading,20
2,Property taxes,500
2,Personal care products and services,10
2,Household furnishings,2000
2,Personal taxes,5000
2,Mortgage payments,700
27,Rented dwellings,6000
27,Home maintenance,900
27,Healthcare,6000
27,Personal insurance and pensions,5000
27,Alcohol,400
27,Water and other public services,700
27,Groceries,700
27,Electricity,600
27,Lodging away from home,5000
27,Education,2000
27,Housekeeping supplies,50
27,Donations,1000
27,Apparel and services,800
27,Household operations,2000
27,Miscellaneous,4000
27,Property taxes,800
27,Personal care products and services,300
27,Household furnishings,700
27,Personal taxes,9000
29,Rented dwellings,6000
29,Home maintenance,1000
29,Personal insurance and pensions,4000
29,Alcohol,200
29,Water and other public services,600
29,Groceries,1000
29,Electricity,800
29,Lodging away from home,2000
29,Education,2000
29,Housekeeping supplies,200
29,Donations,500
29,Apparel and services,400
29,Household operations,100
29,Miscellaneous,1000
29,Property taxes,200
29,Personal care products and services,500
29,Household furnishings,1000
29,Personal taxes,6000
29,Transportation,8000
29,Mortgage payments,400
31,Natural gas,500
31,Rented dwellings,4000
31,Home maintenance,1000
31,Healthcare,2000
31,Personal insurance and pensions,1000
31,Alcohol,400
31,Water and other public services,500
31,Groceries,1000
31,Electricity,400
31,Education,70
31,Housekeeping supplies,600
31,Telephone services,200
31,Donations,200
31,Apparel and services,500
31,Household operations,200
31,Miscellaneous,2000
31,Property taxes,1000
31,Personal care products and services,300
31,Household furnishings,2000
31,Personal taxes,700
31,Transportation,5000
31,Mortgage payments,900
33,Rented dwellings,5000
33,Personal insurance and pensions,2000
33,Alcohol,500
33,Water and other public services,100
33,Groceries,3000
33,Electricity,500
33,Education,400
33,Housekeeping supplies,200
33,Restaurants,3000
33,Telephone services,2000
33,Donations,2000
33,Apparel and services,3000
33,Household operations,900
33,Miscellaneous,900
33,Personal care products and services,500
33,Household furnishings,3000
33,Personal taxes,10000
33,Transportation,4000
33,Mortgage payments,2000
34,Rented dwellings,3000
34,Personal insurance and pensions,1000
34,Alcohol,200
34,Water and other public services,200
34,Groceries,40
34,Lodging away from home,300
