Source,Time,Target
41,2025-01-02 00:00:00,34
37,2025-01-02 02:14:21,27
41,2025-01-02 11:30:38,37
27,2025-01-02 14:11:54,41
27,2025-01-02 16:33:20,41
37,2025-01-02 20:00:28,34
41,2025-01-02 23:00:47,34
41,2025-01-03 12:09:42,27
37,2025-01-04 02:28:32,41
37,2025-01-04 03:34:19,34
40,2025-01-05 06:23:48,0
37,2025-01-05 13:56:38,34
37,2025-01-05 15:03:08,34
37,2025-01-05 15:32:45,41
37,2025-01-05 18:14:02,27
34,2025-01-05 18:35:01,37
37,2025-01-06 12:19:07,41
41,2025-01-06 17:20:08,39
34,2025-01-06 21:31:29,27
41,2025-01-07 06:07:36,37
37,2025-01-07 09:35:24,41
37,2025-01-07 15:17:26,34
41,2025-01-07 19:24:21,34
41,2025-01-08 01:47:26,34
37,2025-01-08 02:39:38,27
41,2025-01-08 07:28:08,34
37,2025-01-08 11:58:04,34
65,2025-01-22 00:12:03,41
65,2025-01-24 10:33:38,39
65,2025-01-26 16:37:21,41
40,2025-01-27 07:48:28,39
65,2025-01-30 07:03:32,41
40,2025-01-31 03:59:16,41
40,2025-02-01 14:01:13,0
41,2025-02-02 12:56:08,39
41,2025-02-03 18:15:10,39
67,2025-02-03 18:35:05,39
47,2025-02-04 03:40:42,39
39,2025-02-04 14:15:49,66
67,2025-02-05 06:22:23,47
41,2025-02-06 23:17:59,65
67,2025-02-07 11:56:37,39
40,2025-02-07 15:42:15,39
67,2025-02-07 21:38:03,47
41,2025-02-12 08:23:54,0
39,2025-02-13 12:24:36,47
67,2025-02-15 20:19:42,47
40,2025-02-16 21:51:51,39
67,2025-02-17 02:35:26,39
47,2025-02-17 02:41:59,39
39,2025-02-17 08:21:26,66
47,2025-02-17 09:42:32,39
67,2025-02-17 18:25:40,39
67,2025-02-18 09:56:44,39
47,2025-02-20 17:18:35,39
39,2025-02-23 01:58:18,47
39,2025-02-23 11:45:22,66
40,2025-02-26 13:15:59,39
41,2025-02-27 14:29:03,39
47,2025-02-27 22:56:59,39
65,2025-02-28 05:39:46,0
47,2025-03-02 03:27:40,39
39,2025-03-03 11:08:32,66
67,2025-03-04 07:51:32,39
39,2025-03-05 18:20:28,66
39,2025-03-06 02:41:54,47
41,2025-03-07 20:52:55,39
41,2025-03-08 11:02:19,39
40,2025-03-08 20:14:08,0
39,2025-03-11 22:03:11,40
67,2025-03-11 22:36:33,39
67,2025-03-12 00:32:45,39
41,2025-03-13 08:30:02,65
47,2025-03-15 02:52:37,39
47,2025-03-25 00:05:39,39
39,2025-03-26 15:22:13,67
41,2025-03-27 16:17:00,40
39,2025-04-01 02:31:04,47
40,2025-04-01 10:00:57,65
47,2025-04-01 13:11:16,39
41,2025-04-02 23:28:48,65
40,2025-04-04 03:34:35,65
39,2025-04-04 20:08:36,67
47,2025-04-05 04:10:38,67
41,2025-04-05 18:49:26,0
39,2025-04-07 10:37:45,67
39,2025-04-07 14:37:14,47
67,2025-04-07 18:02:27,39
41,2025-04-07 19:56:48,65
39,2025-04-07 21:33:44,47
67,2025-04-08 11:07:48,39
39,2025-04-08 22:12:27,67
67,2025-04-09 03:26:52,39
41,2025-04-09 15:05:50,65
39,2025-04-12 03:20:01,67
47,2025-04-14 02:25:33,39
47,2025-04-15 05:12:45,67
47,2025-04-15 08:18:36,39
41,2025-04-15 17:54:07,0
39,2025-04-15 23:37:26,47
40,2025-04-16 10:18:54,41
39,2025-04-19 15:37:21,47
40,2025-04-19 18:23:06,0
47,2025-04-23 12:51:04,39
47,2025-04-23 14:49:49,67
39,2025-04-23 17:39:21,47
39,2025-04-28 03:56:56,67
47,2025-04-29 06:05:14,39
67,2025-04-30 05:21:06,39
47,2025-04-30 14:30:46,67
39,2025-05-06 21:15:33,67
47,2025-05-09 05:57:16,67
47,2025-05-10 15:52:35,39
67,2025-05-17 19:24:48,39
39,2025-05-18 13:13:24,67
47,2025-05-23 19:09:00,39
67,2025-05-23 20:10:39,39
57,2025-05-24 09:09:33,27
58,2025-05-24 18:11:38,37
63,2025-05-25 08:06:41,34
37,2025-05-25 08:10:42,56
58,2025-05-25 09:12:33,43
56,2025-05-25 11:03:17,47
37,2025-05-25 14:03:51,58
57,2025-05-26 05:55:08,43
37,2025-05-27 14:03:48,45
41,2025-05-28 06:41:48,63
41,2025-05-29 02:19:15,45
41,2025-05-29 05:45:35,43
37,2025-05-29 07:26:42,43
37,2025-05-29 08:11:15,27
56,2025-05-29 13:35:01,58
63,2025-05-29 20:06:10,45
63,2025-05-30 03:00:49,56
57,2025-05-30 10:29:19,43
41,2025-05-30 14:40:10,45
57,2025-05-30 18:00:05,27
58,2025-05-31 00:24:02,27
37,2025-05-31 08:04:05,63
37,2025-05-31 08:44:54,41
41,2025-05-31 10:56:52,43
56,2025-05-31 14:17:11,34
57,2025-05-31 19:41:37,58
58,2025-05-31 21:21:01,63
58,2025-06-01 12:44:23,43
47,2025-06-01 19:08:31,39
58,2025-06-02 06:32:05,37
47,2025-06-02 19:36:48,39
58,2025-06-03 02:32:19,34
63,2025-06-03 07:53:04,58
57,2025-06-03 12:19:36,34
56,2025-06-04 10:09:46,57
58,2025-06-04 23:19:42,34
58,2025-06-05 00:38:04,47
56,2025-06-05 04:19:39,57
34,2025-06-05 06:50:50,58
58,2025-06-05 10:01:55,27
58,2025-06-05 20:29:00,43
47,2025-06-05 20:43:42,58
37,2025-06-06 05:43:04,47
58,2025-06-06 08:15:12,56
57,2025-06-06 15:19:03,34
57,2025-06-06 23:53:54,45
67,2025-06-07 09:55:43,39
56,2025-06-07 18:26:22,41
58,2025-06-08 09:26:52,47
37,2025-06-08 18:07:50,45
41,2025-06-09 07:24:04,56
58,2025-06-09 13:31:07,56
37,2025-06-09 14:04:23,45
63,2025-06-09 19:16:48,47
37,2025-06-10 00:25:00,45
37,2025-06-10 05:23:25,63
57,2025-06-10 08:28:23,41
56,2025-06-12 01:46:57,37
58,2025-06-12 10:09:13,56
41,2025-06-13 18:23:25,43
63,2025-06-14 10:23:50,58
41,2025-06-14 22:17:42,57
41,2025-06-15 07:50:40,63
37,2025-06-15 22:27:45,63
41,2025-06-16 15:26:26,37
58,2025-06-16 16:17:58,27
57,2025-06-16 16:55:50,41
37,2025-06-16 21:02:37,63
57,2025-06-17 07:15:53,63
41,2025-06-17 08:50:27,63
57,2025-06-17 20:31:03,37
57,2025-06-18 20:17:17,43
47,2025-06-18 21:44:47,56
63,2025-06-18 22:58:12,45
39,2025-06-20 15:24:26,67
67,2025-06-21 21:42:15,39
39,2025-07-15 11:36:42,67
67,2025-07-18 01:03:30,39
67,2025-07-23 11:47:09,39
67,2025-07-31 23:15:39,39
39,2025-08-10 11:00:44,67
67,2025-08-18 09:38:38,39
67,2025-08-23 05:37:01,39
39,2025-08-24 09:21:49,67
67,2025-09-01 08:56:44,39
58,2025-09-11 14:57:38,63
41,2025-09-12 07:53:31,63
39,2025-09-13 18:44:23,67
58,2025-09-13 23:25:43,41
63,2025-09-14 00:00:56,58
63,2025-09-15 08:32:03,41
63,2025-09-15 17:11:20,41
63,2025-09-17 21:09:34,58
58,2025-09-18 06:33:05,63
63,2025-09-21 02:12:18,58
63,2025-09-22 17:40:13,41
43,2025-09-22 18:35:11,45
43,2025-09-23 08:49:39,47
39,2025-09-23 09:46:23,67
63,2025-09-23 12:59:11,41
43,2025-09-23 18:39:51,47
43,2025-09-24 03:04:41,41
63,2025-09-25 07:38:07,41
63,2025-09-25 08:31:20,58
58,2025-09-26 14:17:35,63
63,2025-09-27 09:17:01,47
39,2025-09-29 01:32:10,67
58,2025-09-29 21:38:34,63
63,2025-09-30 04:31:29,58
63,2025-10-01 12:04:06,45
63,2025-10-02 03:15:44,41
47,2025-10-04 05:27:04,63
47,2025-10-04 22:33:47,63
63,2025-10-05 04:36:56,47
43,2025-10-05 09:00:35,63
43,2025-10-05 15:05:47,45
47,2025-10-05 20:48:51,63
47,2025-10-06 08:41:47,41
