Source,Time,Location
34,2025-01-02 05:52:28,5.0
34,2025-01-02 14:09:18,5.0
41,2025-01-02 17:26:01,5.0
27,2025-01-03 01:13:21,5.0
37,2025-01-03 02:52:52,5.0
34,2025-01-03 12:40:23,5.0
41,2025-01-03 15:54:29,5.0
41,2025-01-03 16:43:42,5.0
34,2025-01-03 17:34:39,5.0
41,2025-01-03 18:36:33,5.0
37,2025-01-04 01:38:29,5.0
34,2025-01-04 04:53:33,5.0
34,2025-01-04 08:09:38,5.0
41,2025-01-04 09:39:45,5.0
34,2025-01-04 16:23:43,5.0
34,2025-01-04 23:57:41,5.0
37,2025-01-05 00:17:11,5.0
34,2025-01-05 01:16:17,5.0
41,2025-01-05 04:33:54,5.0
41,2025-01-05 08:09:46,5.0
37,2025-01-05 19:53:14,5.0
34,2025-01-05 23:58:23,5.0
34,2025-01-06 07:42:34,5.0
34,2025-01-07 04:13:53,5.0
34,2025-01-07 11:07:49,5.0
65,2025-01-07 15:58:42,5.0
27,2025-01-07 16:14:31,5.0
41,2025-01-07 18:40:47,5.0
27,2025-01-07 19:45:34,5.0
41,2025-01-07 22:46:53,5.0
41,2025-01-08 01:21:09,5.0
34,2025-01-08 09:06:40,5.0
41,2025-01-08 10:25:22,5.0
27,2025-01-08 16:44:12,5.0
41,2025-01-09 02:27:22,5.0
65,2025-01-18 19:42:47,5.0
40,2025-01-27 14:42:26,5.0
41,2025-02-05 09:08:46,5.0
65,2025-02-08 06:03:34,5.0
41,2025-02-08 12:46:37,5.0
40,2025-02-09 11:32:48,5.0
65,2025-02-10 11:50:22,5.0
41,2025-02-10 16:45:25,5.0
41,2025-02-11 16:01:25,5.0
41,2025-02-17 19:40:39,5.0
40,2025-02-18 01:56:57,5.0
40,2025-02-19 10:07:32,5.0
41,2025-02-19 12:06:48,5.0
41,2025-02-19 12:10:04,5.0
40,2025-02-21 21:35:32,5.0
65,2025-02-22 01:09:42,5.0
41,2025-02-22 16:22:29,5.0
41,2025-02-25 08:33:34,5.0
40,2025-02-27 09:05:47,5.0
65,2025-02-27 17:21:41,5.0
41,2025-03-07 19:26:44,5.0
65,2025-03-08 17:43:18,5.0
65,2025-03-09 11:38:10,5.0
41,2025-03-11 02:37:01,5.0
40,2025-03-12 15:54:25,5.0
65,2025-03-17 00:47:20,5.0
40,2025-03-20 13:05:45,5.0
41,2025-03-21 08:12:18,5.0
65,2025-03-27 19:32:54,5.0
40,2025-03-29 04:40:45,5.0
40,2025-04-05 00:32:19,5.0
40,2025-04-14 01:13:30,5.0
65,2025-04-14 02:05:26,5.0
65,2025-04-18 17:35:39,5.0
27,2025-05-23 15:04:45,5.0
43,2025-05-23 17:45:38,3.0
34,2025-05-23 20:38:06,5.0
27,2025-05-23 21:47:43,5.0
27,2025-05-23 22:34:47,5.0
27,2025-05-24 01:53:52,5.0
41,2025-05-24 06:43:58,5.0
41,2025-05-24 06:53:24,5.0
43,2025-05-24 11:03:33,3.0
63,2025-05-24 21:54:59,4.0
41,2025-05-25 02:22:57,5.0
27,2025-05-25 05:43:08,5.0
56,2025-05-25 07:59:02,0.0
63,2025-05-25 12:34:01,4.0
56,2025-05-25 15:02:55,0.0
56,2025-05-25 19:32:02,0.0
34,2025-05-25 23:04:03,5.0
58,2025-05-26 03:09:10,4.0
41,2025-05-26 06:41:39,5.0
47,2025-05-27 02:43:37,3.0
56,2025-05-27 09:57:14,0.0
56,2025-05-27 15:03:37,0.0
56,2025-05-28 00:44:37,0.0
56,2025-05-28 10:20:59,0.0
27,2025-05-28 11:23:47,5.0
41,2025-05-28 23:54:57,5.0
41,2025-05-29 01:39:47,5.0
27,2025-05-29 01:51:03,5.0
41,2025-05-29 03:06:49,5.0
47,2025-05-29 13:59:45,3.0
47,2025-05-30 03:19:05,3.0
47,2025-05-30 06:05:25,3.0
34,2025-05-30 13:11:29,5.0
27,2025-05-30 16:13:58,5.0
27,2025-05-31 01:33:07,5.0
27,2025-05-31 04:06:27,5.0
63,2025-05-31 04:17:14,4.0
41,2025-05-31 06:57:04,5.0
63,2025-05-31 07:06:57,4.0
27,2025-05-31 09:08:51,5.0
47,2025-05-31 15:04:44,3.0
63,2025-05-31 19:12:25,4.0
56,2025-06-01 06:28:41,0.0
56,2025-06-01 16:31:35,0.0
41,2025-06-02 02:17:26,5.0
41,2025-06-02 03:09:47,5.0
63,2025-06-03 03:39:13,4.0
34,2025-06-03 15:36:27,5.0
27,2025-06-03 19:55:24,5.0
63,2025-06-03 21:23:02,4.0
56,2025-06-04 22:05:56,0.0
63,2025-06-05 04:31:39,4.0
58,2025-06-05 21:03:34,4.0
63,2025-06-06 08:26:32,4.0
41,2025-06-06 20:58:17,5.0
63,2025-06-06 23:08:42,4.0
58,2025-06-07 03:25:51,4.0
63,2025-06-07 04:34:53,4.0
63,2025-06-07 04:36:14,4.0
56,2025-06-09 14:17:36,0.0
27,2025-06-09 23:56:44,5.0
63,2025-06-10 00:12:25,4.0
45,2025-06-10 11:04:51,3.0
34,2025-06-10 16:26:05,5.0
34,2025-06-10 18:03:02,5.0
63,2025-06-11 16:31:00,4.0
41,2025-06-11 17:06:38,5.0
56,2025-06-11 17:44:00,0.0
34,2025-06-11 19:36:48,5.0
47,2025-06-11 20:59:57,3.0
63,2025-06-12 01:32:39,4.0
47,2025-06-12 03:24:55,3.0
41,2025-06-12 18:39:31,5.0
41,2025-06-12 21:30:28,5.0
27,2025-06-13 03:40:08,5.0
41,2025-06-13 06:33:43,5.0
37,2025-06-15 02:07:58,5.0
41,2025-06-15 03:32:20,5.0
27,2025-06-15 04:57:22,5.0
27,2025-06-15 10:50:29,5.0
41,2025-06-15 13:21:42,5.0
45,2025-06-15 20:50:08,3.0
63,2025-06-16 00:19:15,4.0
34,2025-06-16 13:07:54,5.0
34,2025-06-16 14:21:28,5.0
56,2025-06-16 14:57:50,0.0
45,2025-06-17 07:06:05,3.0
27,2025-06-17 15:49:40,5.0
56,2025-06-18 03:15:47,0.0
56,2025-06-20 01:45:19,0.0
41,2025-09-21 13:44:28,5.0
45,2025-09-21 22:45:29,3.0
45,2025-09-21 23:39:53,3.0
45,2025-09-22 13:05:01,3.0
63,2025-09-22 16:25:22,4.0
63,2025-09-22 21:34:19,4.0
43,2025-09-23 02:04:15,3.0
41,2025-09-24 06:29:07,5.0
41,2025-09-24 09:40:24,5.0
41,2025-09-24 10:41:42,5.0
58,2025-09-24 17:21:05,4.0
45,2025-09-24 19:53:48,3.0
41,2025-09-25 04:36:02,5.0
41,2025-09-25 16:05:52,5.0
63,2025-09-26 05:52:54,4.0
45,2025-09-27 10:30:05,3.0
41,2025-09-27 17:32:43,5.0
45,2025-09-27 19:26:56,3.0
43,2025-09-28 02:19:48,3.0
45,2025-09-29 08:15:50,3.0
43,2025-09-29 19:07:10,3.0
41,2025-09-29 20:57:03,5.0
43,2025-09-30 14:53:27,3.0
47,2025-09-30 19:09:38,3.0
41,2025-09-30 22:43:10,5.0
63,2025-10-01 02:56:41,4.0
41,2025-10-01 13:38:38,5.0
45,2025-10-02 05:38:41,3.0
63,2025-10-03 01:09:19,4.0
43,2025-10-03 02:35:02,3.0
41,2025-10-06 16:20:50,5.0
63,2025-10-07 09:55:58,4.0
63,2025-10-07 16:21:30,4.0
45,2025-10-07 17:23:54,3.0
41,2025-10-07 22:22:15,5.0
41,2025-10-08 04:17:16,5.0
41,2025-10-08 08:37:46,5.0
45,2025-10-08 18:47:53,3.0
41,2025-10-08 19:05:41,5.0
58,2025-10-09 00:26:14,4.0
58,2025-10-09 09:17:26,4.0
45,2025-10-10 15:52:45,3.0
41,2025-10-11 16:13:23,5.0
63,2025-10-11 21:34:01,4.0
47,2025-10-12 02:22:39,3.0
58,2025-10-12 03:26:29,4.0
63,2025-10-12 20:38:44,4.0
41,2025-10-12 22:21:45,5.0
41,2025-10-13 00:20:28,5.0
43,2025-10-13 07:55:11,3.0
41,2025-10-15 09:09:07,5.0
63,2025-10-15 16:29:29,4.0
43,2025-10-16 14:16:44,3.0
63,2025-10-16 17:26:19,4.0
41,2025-10-16 18:06:29,5.0
43,2025-10-16 23:43:59,3.0
41,2025-10-17 09:50:56,5.0
41,2025-10-17 09:55:28,5.0
41,2025-10-18 03:15:09,5.0
45,2025-10-18 16:50:55,3.0
41,2025-10-19 07:49:38,5.0
41,2025-10-20 11:53:47,5.0
37,2025-10-29 13:00:21,5.0
27,2025-10-29 16:56:28,5.0
41,2025-10-29 17:31:20,5.0
37,2025-10-29 19:04:51,5.0
37,2025-10-29 23:47:05,5.0
27,2025-10-29 23:48:58,5.0
27,2025-10-30 01:46:41,5.0
27,2025-10-30 02:55:27,5.0
37,2025-10-30 04:05:46,5.0
27,2025-10-30 05:38:04,5.0
27,2025-10-30 06:35:56,5.0
27,2025-10-30 08:15:21,5.0
41,2025-10-30 08:38:03,5.0
27,2025-10-30 08:41:26,5.0
37,2025-10-30 09:36:35,5.0
57,2025-11-02 04:14:39,0.0
41,2025-11-05 10:14:51,5.0
57,2025-11-05 10:22:57,0.0
41,2025-11-06 04:44:40,5.0
41,2025-11-06 10:46:58,5.0
41,2025-11-06 19:51:14,5.0
57,2025-11-07 16:18:12,0.0
41,2025-11-07 18:16:42,5.0
41,2025-11-09 06:27:22,5.0
57,2025-11-09 16:04:51,0.0
57,2025-11-10 03:03:25,0.0
41,2025-11-11 08:29:29,5.0
57,2025-11-11 21:12:55,0.0
27,2025-01-02 05:52:28,5.0
37,2025-01-02 14:09:18,5.0
37,2025-01-02 17:26:01,5.0
37,2025-01-03 01:13:21,5.0
41,2025-01-03 02:52:52,5.0
41,2025-01-03 12:40:23,5.0
27,2025-01-03 15:54:29,5.0
37,2025-01-03 16:43:42,5.0
41,2025-01-03 17:34:39,5.0
37,2025-01-03 18:36:33,5.0
27,2025-01-04 01:38:29,5.0
27,2025-01-04 04:53:33,5.0
27,2025-01-04 08:09:38,5.0
37,2025-01-04 09:39:45,5.0
37,2025-01-04 16:23:43,5.0
41,2025-01-04 23:57:41,5.0
34,2025-01-05 00:17:11,5.0
37,2025-01-05 01:16:17,5.0
27,2025-01-05 04:33:54,5.0
34,2025-01-05 08:09:46,5.0
27,2025-01-05 19:53:14,5.0
37,2025-01-05 23:58:23,5.0
37,2025-01-06 07:42:34,5.0
27,2025-01-07 04:13:53,5.0
27,2025-01-07 11:07:49,5.0
39,2025-01-07 15:58:42,5.0
41,2025-01-07 16:14:31,5.0
34,2025-01-07 18:40:47,5.0
34,2025-01-07 19:45:34,5.0
34,2025-01-07 22:46:53,5.0
34,2025-01-08 01:21:09,5.0
27,2025-01-08 09:06:40,5.0
37,2025-01-08 10:25:22,5.0
37,2025-01-08 16:44:12,5.0
0,2025-01-09 02:27:22,5.0
41,2025-01-18 19:42:47,5.0
39,2025-01-27 14:42:26,5.0
0,2025-02-05 09:08:46,5.0
0,2025-02-08 06:03:34,5.0
40,2025-02-08 12:46:37,5.0
65,2025-02-09 11:32:48,5.0
0,2025-02-10 11:50:22,5.0
65,2025-02-10 16:45:25,5.0
39,2025-02-11 16:01:25,5.0
0,2025-02-17 19:40:39,5.0
0,2025-02-18 01:56:57,5.0
41,2025-02-19 10:07:32,5.0
40,2025-02-19 12:06:48,5.0
39,2025-02-19 12:10:04,5.0
65,2025-02-21 21:35:32,5.0
40,2025-02-22 01:09:42,5.0
65,2025-02-22 16:22:29,5.0
65,2025-02-25 08:33:34,5.0
65,2025-02-27 09:05:47,5.0
0,2025-02-27 17:21:41,5.0
65,2025-03-07 19:26:44,5.0
