,0,1,2,3,4,5
0,0,0,0,0,0,0
2,0,0,0,0,0,0
27,0,0,0,0,0,0
29,0,0,0,0,0,0
31,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,1,0,0,3,2,3
40,6,0,0,3,1,3
41,4,0,0,3,3,6
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
73,2,0,4,3,0,0
74,2,0,1,1,0,0
75,1,0,4,5,0,0
77,0,2,1,1,4,0
78,0,2,4,4,1,0
79,0,1,2,3,3,0
80,0,3,3,1,5,0
82,0,0,0,0,5,0
83,0,0,0,0,1,0
84,0,0,0,0,1,0
85,4,1,0,1,0,3
86,5,3,0,2,0,3
87,2,2,0,1,0,1
