Source,Time,Target,Weight,TargetLocation
78,2025-05-17 07:26:46,81,2,1.0
80,2025-05-23 07:26:46,70,1,3.0
80,2025-05-23 07:26:46,81,3,1.0
77,2025-05-25 07:26:46,70,1,3.0
79,2025-05-27 07:26:46,81,1,1.0
79,2025-06-03 07:26:46,70,3,3.0
77,2025-06-05 07:26:46,81,2,1.0
78,2025-06-12 07:26:46,70,4,3.0
78,2025-06-22 07:26:46,69,1,4.0
79,2025-06-24 07:26:46,69,3,4.0
80,2025-06-30 07:26:46,76,3,2.0
77,2025-07-01 07:26:46,76,1,2.0
78,2025-07-01 07:26:46,76,4,2.0
77,2025-07-01 07:26:46,69,4,4.0
79,2025-07-03 07:26:46,76,2,2.0
80,2025-07-03 07:26:46,69,5,4.0
82,2025-07-15 07:26:46,69,5,4.0
83,2025-07-23 07:26:46,69,1,4.0
84,2025-07-24 07:26:46,69,1,4.0
73,2025-07-28 07:26:46,70,3,3.0
75,2025-08-05 07:26:46,70,5,3.0
75,2025-08-07 07:26:46,76,4,2.0
73,2025-08-11 07:26:46,76,4,2.0
74,2025-08-16 07:26:46,70,1,3.0
74,2025-08-17 07:26:46,76,1,2.0
74,2025-09-10 07:26:46,71,2,0.0
75,2025-09-11 07:26:46,71,1,0.0
73,2025-09-12 07:26:46,71,2,0.0
39,2025-10-07 07:26:46,70,3,3.0
40,2025-10-12 07:26:46,70,3,3.0
40,2025-10-14 07:26:46,69,1,4.0
41,2025-10-14 07:26:46,70,3,3.0
39,2025-10-19 07:26:46,69,2,4.0
41,2025-10-20 07:26:46,69,3,4.0
40,2025-11-05 06:26:46,71,6,0.0
40,2025-11-05 06:26:46,72,3,5.0
41,2025-11-06 06:26:46,71,4,0.0
39,2025-11-09 06:26:46,71,1,0.0
41,2025-11-10 06:26:46,72,6,5.0
39,2025-11-11 06:26:46,72,3,5.0
87,2025-11-19 06:26:46,71,2,0.0
85,2025-11-22 06:26:46,81,1,1.0
85,2025-11-30 06:26:46,71,4,0.0
86,2025-12-07 06:26:46,71,5,0.0
86,2025-12-14 06:26:46,81,3,1.0
87,2025-12-14 06:26:46,81,2,1.0
87,2025-12-14 20:26:46,72,1,5.0
86,2025-12-18 20:26:46,70,2,3.0
87,2025-12-20 20:26:46,70,1,3.0
85,2025-12-21 20:26:46,70,1,3.0
85,2025-12-23 20:26:46,72,3,5.0
86,2025-12-25 20:26:46,72,3,5.0
